board_id,post_id,analysis_unit,title,published_at,source_url,selection_reason,views,recommendations,comment_count,analyzed_comment_count,comments_complete,body_sentiment,comment_reaction,intent,topic,confidence,evidence_terms,body_excerpt,model_version
2304,47473,tips,"설치기, 룬, 동꼽 알림 웹사이트 개선해서 만들어봤습니다",2026-05-10 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47473,comments,19728,27,75,75,True,mixed,positive,request,버그·사용성,0.8999999999999999,감사 · 불편 · 오류,"https://maple-timer.com/ - 최초 공유글: https://www.inven.co.kr/board/maple/5974/6534996 - 자게글: https://www.inven.co.kr/board/maple/5974/6561583 ​ ​ 소리 키는거 추천 소리 키는거 추천 전에 한 번 공유했던 설치기 알림 웹사이트 Maple Timer를 피드백 받아가면서 계속 고쳤고, 이제 핵심 기능은 어느 정도 쓸 수 있는 상태가 된 것 같아서 다시 공유드립니다. 한 줄로 설명하면, 사냥 중 화면을 계속 보고 있지 않아도, 퀵슬롯 쿨타임 숫자를 읽어서 설치기와 룬 알림을 주는 웹사이트 입니다. 별도 프로그램 설치 없이 브라우저에서 바로 사용합니다. 처음에는 야누스 정도만 알림을 조금 더 편하게 받는게 목표였는데, 여러 피드백을 통해 오류도 수정하고 기능들도 추가했습니다. 왜 만들었나요? 기존에 존재하는 타이머 사이트들이 사용자가 직관적으로 사용하기 어렵다고 느껴서 만들었습니다.",domain-lexicon-v1.1
2304,47485,tips,인증 헬레나 나이트메어 작은 팁,2026-05-14 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47485,comments,45166,23,41,38,False,neutral,positive,request,보스·전투,0.35,,"※ 테섭 : 안전 에겐 최소 전투력 ( 100 레벨 기준 ) ★ 테토 : 8초 / 106만 [어센트 모두 사용] ◆ 안전 에겐 : 4초 / 141만 [어센트 사용 X] ● 안전 풀 에겐 : 4초 / 162만 [어센트 모두 사용] 나메가 어려운 작은 돌정이 들은 마지막 QTE 때문이라도 5개 틀려도 되는 안전 에겐 으로 하시길 바랍니다. 100 레벨 찍었을 때, 대부분의 작은 돌정이 들은 요구 전투력을 넘길 것 입니다. 공격 하다가 위험한 상황이 나올 수 있는 행동을 삭제한게 안전 입니다. 에겐 / 풀 에겐 전투력을 구하실 때 4초 이상의 쿨감을 사용 중이면 4초로 바꿔 입력하세요 i 결정을 바꾸라는 의미가 아님 체공으로 쿨감 효과 거의 날려 먹고 있기 때문에 극딜 잘 굴리는 4초나 극딜 늦게 올리는 6초나 스킬 사용 횟수가 거의 비슷합니다. i 6초가 좀 더 편함 i 4초는 누적 20초 밀리면 막극 제대로 못 함 100레벨 미만에서의 전투력을 보려면 환산 사이트 - 놀이터 - 루시드",domain-lexicon-v1.1
2304,47514,tips,웹서핑/게임 하면서 재획하는 멀티 오버레이 출시,2026-05-19 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47514,comments,16327,14,54,54,False,mixed,positive,request,버그·사용성,0.75,감사 · 오류,"[다운로드 및 안내] - 다운로드 (깃허브) : https://github.com/cartilage0bone/Mecus-Releases/releases - 사용 가이드 및 공홈 : https://maple-focus.web.app 안녕하세요. 멀티태스킹에 최적화된 다기능 오버레이 '메커스(Mecus)' 를 소개합니다. 한 줄로 요약하면, 메이플 재획 중 다른 브라우저나 앱을 마우스로 조작해도, 메이플 클라이언트에 포커스가 유지되어 키보드 입력이 끊기지 않게 해주는 앱 입니다. ✨ 핵심 기능 1. 포커스 마술사 ​ 재획하면서 단순히 영상을 보는 것을 넘어, 입력 중단 없이 커뮤니티 글을 읽거나, 웹툰 다음화를 클릭하거나, 턴제/카드 게임을 동시에 플레이 할 수 있습니다. 메커스 오버레이 패널에 띄워둔 화면을 마우스로 아무리 클릭하고 스크롤해도 메이플의 스킬이 끊기지 않습니다. 매직 포커스를 적용하면 스팀 패키지 게임 등 외부 창 또한 키보드 입력을 무시하고 마우스 입력만 들어갑니다. ",domain-lexicon-v1.1
2304,47515,tips,인증 챌섭 직업선택 가이드 (수정 6/16),2026-05-20 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47515,comments,168810,60,753,63,False,mixed,positive,information,보스·전투,0.95,좋다 · 재미 · 감사 · 불편 · 문제,"챌섭 직업선택 가이드 수정 6/14) 선생님들 다짜고자 OO직업 좋나요? OO직업 어렵나요? 이러면 제가 해줄수 있는 말이 없어요. 그런건 직게 가서 확인하시는게 정확합니다. 제가 모든 직업을 장인급으로 알고있는것도 아니고 선생님들의 성향이나 피지컬 수준을 알고있는 것도 아니라서 대답이 곤란합니다. 적어도 질문을 하실거면 어떤 취향이신지(간단하게 좋은지 복잡한게 재미있는지), 본캐 부캐인지, 유챔으로 하는지 익스우 솔플 이상의 진심부캐로 보는지는 말해주셔야돼요. 그리고 저 홍대병 아니예요... 최소한 유챔은 제가 추천해놓은거 외에는 싹다 추천하지 않는다라고 박아놓고 시작하는거니까 그 부분은 고려해주세요. ex) 본캐로 할건데 제가 원래 구조가 복잡한걸 잘 못한는데 간단하면서 템값이 좀 싼애가 있을까요? => 보마하세요 진심부캐로 할건데 팔라딘 괜찮나요? => 솔플만보면 비추, 파티플 기준이면 메리트가 확실히 있기는 합니다. 유챔에서 팬텀 어떤가요? => 유챔 추천목록에 없으면 싹다 ",domain-lexicon-v1.1
2304,47572,tips,인증 챌섭 직업 정하다가 정리해본 전직업 유틸 모음집,2026-06-07 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47572,comments,99060,198,206,6,False,negative,neutral,information,밸런스·스킬,0.6,오류,"서론. 챌섭 직업 정하기가 힘들어서 이 영상 저 영상 둘러보다가 뭔가 유틸 관련해서 한번에 정보를 얻는 과정이 번거로워서 직접 만들어봤습니다. 저는 극딜, 준극딜 같은 딜구조나 체급 이런 부분은 템을 좀 더 맞추거나 밸런스 패치를 받으면 해소되는 부분이라고 생각합니다. 그래서 직업 선택 할 때 유틸과 조작감을 많이 고려하게 되더라고요. 저처럼 유틸 관련해서 궁금하신 분들이나, 아직 챌섭 직업 고민을 하고 계신분들이 계신다면 도움이 되었으면 좋겠습니다. 직업은 순서대로 쭉 작성했으니 전체적으로 보고 싶은분은 쭉 보시고, 각 직업별로 앞에 이름을 달아둘테니 특정 직업이 궁금하신분은 ctrl+f 누르시고 직업명 검색하셔서 찾아가시면 편하실겁니다. 아래는 선정 기준과 주의사항, 참고사항 등을 적어둘 것인데 자료만 보실거면 ""히어로"" 검색하시고 바로 보시면 됩니다. 기본설정. 1. 회복, 무적 등의 생존기, 이동기와 같은 체감 가능한 유틸들로 선정했습니다. 2. n초마다 n% 회복 같은 바로",domain-lexicon-v1.1
2304,47600,tips,인증 여름 이벤트 재화 획득량 정리 + 패스 효율,2026-06-13 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47600,comments,40102,33,47,46,False,neutral,positive,information,성장·보상,0.35,,롤 보면서 만들어서 누락된 게 있거나 틀릴 수 있어요 +) 5세트 가버려서 효율도 러프하게 계산해봤어요,domain-lexicon-v1.1
2304,47602,tips,[재획 타이머] 메이플 타이머 업데이트,2026-06-13 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47602,comments,17317,9,52,52,True,mixed,positive,request,버그·사용성,0.95,감사 · 오류 · 버그 · 문제,"자유 게시판에도 작성했는데, 본질은 팁게가 맞다고 생각해 팁게에도 작성합니다. https://maple-timer.com https://maple-timer.com/guide -자게 글: https://www.inven.co.kr/board/maple/5974/6694130?my=chuchu -이전 공유글: https://www.inven.co.kr/board/maple/5974/6561583?my=post ​ 소리 키는거 추천 소리 키는거 추천 안녕하세요. 메이플 타이머 개발자입니다. 처음 홍보 글을 올린 뒤 한 달정도 시간이 지났는데, 생각보다 많은 사용자 분들이 여러 버그 제보와 제안 사항들을 보내주셨고 최초 글을 올렸을 때보다 어느 정도 기능들도 많이 추가되습니다. 이번 여름 새롭게 입문하는 분들도 첼섭에서 야누스30 을 받기 때문에, 같이 사용하시면 좋을 것 같아서 한 번 더 글을 작성합니다. 기존 글에 작성했던 내용들은 간단하게 작성하고, 새로 추가한 내용들은 좀 더 자세",domain-lexicon-v1.1
2304,47622,tips,스펙터 블래스트 공략,2026-06-15 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47622,comments,134105,36,77,76,False,neutral,positive,request,밸런스·스킬,0.35,,직업 설명 가온 : 딜러 연계로 게이지를 채워 강화 공격기를 사용하는게 핵심 기본 스킬 기본 공격 1초마다 강화되기는 하지만 데미지 차이가 없고 자연 에너지도 후에 얻을 스킬 때문에 큰 의미가 없어서 신경 안써도 됨 3레벨 습득 스킬 윗점 스킬 후에 얻을 스킬과 연계해서 쓰는 스킬이고 그 전까진 윗점으로 씁니다 7레벨 습득 스킬 게이지 100일때만 사용할 수 있는 스킬입니다 설명에는 만조 다음에 쓰는 스킬 강화라 되어있지만 북명파천창 (창던지기)만 강화됩니다 2초가 지나거나 다른 스킬을 사용하면 강화가 적용되지 않으니 만조 다음에 바로 북명파천창을 써야됩니다 ★ ★ ★중요 ★ ★ ★ 창던지기 스킬 만조일때 사용하면 데미지가 10배가 되고 만조+케이라 버프를 받으면 8000%까지 강화됩니다 10레벨 습득 스킬 내려찍는 스킬입니다 공중에서만 사용 가능하며 승파격과 연계하여 빠르게 자연에너지를 채울 수 있습니다 13레벨 습득 스킬 에너지 채우기 스킬 비영참 사용 후 승파 사용시 분신의 위,domain-lexicon-v1.1
2304,47634,tips,직업별 순위,2026-06-16 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47634,comments,27266,0,78,74,False,neutral,neutral,information,밸런스·스킬,0.35,,직업별 순위 모음 이런거는 어디서 볼수있을까여?,domain-lexicon-v1.1
2304,47635,tips,인증 챌섭 레테 제자리 사냥터 모음 (세르니움~아르테리아),2026-06-17 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47635,comments,154245,23,40,42,True,neutral,positive,information,보스·전투,0.35,,"1. 스캐터 ON 기준 입니다 2. 매크로에 컨버지+임펠 등록하고 사용하면 약 60초 동안 동꼽이 가능합니다 (임펠만 썼을때 : 45초까지 동꼽 가능) 관련 글 : https://www.inven.co.kr/board/maple/2304/47758 *인기 사냥터들은 제외했습니다 (도서관,골목2 등등) 챌섭3누스를 받은 기준입니다만 각 지역마다 설치 없이 소환수가 다 잡아주는 사냥터가 존재합니다 (마릿수 34마리) 고점 사냥터: 마릿수 높은 사냥터들 날먹: 설치X 00:09 세르니움 고점 해변암석지대3 (38마리) 왕립도서관6 (38마리) 동쪽성벽2 (34마리) 00:50 세르니움 날먹 격전의 서쪽 성벽2 (34마리) 격전의 동쪽성벽1 (34마리) 격전의 동쪽성벽2 (34마리) 격전의 동쪽성벽4 (34마리) 01:49 아르크스 고점 황야4 (39마리) 열차3 (38마리) 극장3 (39마리) 02:29 아르크스 날먹 극장1 (34마리) 극장4 (34마리) 극장6 (34마리) 황야1 (3",domain-lexicon-v1.1
2304,47636,tips,인증 야누스 30렙 제자리 사냥터 모음 (세르니움~아르테리아),2026-06-17 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47636,comments,186311,25,116,17,False,neutral,neutral,information,보스·전투,0.35,,https://youtu.be/x1HcrxKj2ZU?si=4WA_fjxTKexKCyYs * = 야누스 * = 파운틴 o = 제자리 위치 세르니움 - 암석 지대 3 6분 1800~1880마리 아르크스 - 횡단열차6 6분 1800~1880마리 오디움 - 잠긴 문 뒤 실험실 4 6분 1850~1900마리 도원경 - 여름 4 6분 1850~1900마리 아르테리아 - 최하층 통로 6 6분 1900~1920마리 아르테리아 - 최상층 통로 2 6분 1900~1920마리 이번에 아르테리아는 사냥터 괜찮은데가 많아져서 선택 폭이 넓습니다. 하위 사냥터는 여전히 별로입니다.,domain-lexicon-v1.1
2304,47643,tips,인증 레테 극딜순서 다시 짜왔음,2026-06-17 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47643,comments,161863,142,256,50,False,neutral,positive,information,밸런스·스킬,0.35,,고점용은 어지간하면 진입 극딜때만 사용 될 것으로 예상됨 + 이딕트 스킬은 임프린트 스킬 때문에 번갈아가면서 사용하는것을 권장,domain-lexicon-v1.1
2304,47689,tips,인증 모험으로 알아온 메이린 개꿀팁 (일요일에 재획안하고 메이린 최소컷 깎으면서),2026-06-21 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47689,comments,64412,59,126,26,False,neutral,positive,request,밸런스·스킬,0.35,,안녕하세요 썬데이 재획안하고 메이린 극최소컷부터 깎으면서 고려했었던 모든 꿀팁을 들고왔습니다 1. 타직업 스킬카드를 언제 써야하는지 입장하면 보스타격가능 시간이 19분 47초부터이고 19분 7초가 되면 특수패턴이 나오는데 노말기준 거의 60초 준극딜 시간과 비슷하게 타직업 스킬카드를 선택하고 2번째 극딜이 10초정도 남았을때 타직업 스킬카드를 한번더 선택할수 있게 되는데 타직업 스킬을 가지고 있는 상태에서 제단에서 카드를 선택하면 가지고있던 스킬은 변경되고 사용중이던 스킬은 사라지니 데미지상승 관련된 준극딜 적용버프들이 있다면 그때 사용하는것을 추천드립니다 루미처럼 없는경우 일격필살에 맞추거나 극딜버프 남았을때 추천드립니다 +웬만하면 메이린 돌진기보고 사용해서 풀히트 유도해줍시다 2. 어떤 타직업 스킬카드를 써야하는지 타직업 스킬들의 경우 풀히트 기준 데미지가 거의 동일하게 설계가 되었는데 (전용BGM+사용효과 전부 적용됩니다) 스택형식 으로 나가는 윈드브레이커의 하울링게일이나 캐논,domain-lexicon-v1.1
2304,47755,tips,에테리온 에픽던전 안찍고 에픽 돌았는데,2026-06-24 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47755,comments,7931,0,55,49,False,neutral,neutral,information,성장·보상,0.35,,지금이라도 찍는게 나음? 아니면 일퀘로 틀어야함? 보너스 경험치 받을건데 여기에 합계산되면 지금이라도 찍으려고,domain-lexicon-v1.1
2304,47801,tips,하드메이린 템세팅 가이드,2026-06-28 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47801,comments,40853,19,47,47,False,mixed,positive,request,밸런스·스킬,0.75,감사 · 오류,"참고로, 이 템셋이 무조건 옳다! 는 절대로 아닙니다. 참고를 해서 세팅을 하면 좋겠다 이 정도일 뿐입니다. 스스로 공부해서 본인만의 방향을 찾아가는 것도 상당히 좋은 방법이라고 생각합니다. 들어가기 전, 3줄 요약 조지고 들어갑니다 하드메이린? 은근히 컷 높다. 템을 어느 정도 보강을 해야 한다. 18성 여명, 보조 엠블 레전/에픽으로 가능은 하다! 다들 제네무기 날먹해서 컷을 열심히 내려봅시다! 아래의 조건으로 환산에 시뮬레이션을 돌려 진행하였습니다. 꼭 읽어보고 참고해주시길 바랍니다. 환산주스텟 가이드 : https://www.inven.co.kr/board/maple/2304/47723 환산주스텟 사이트 : https://maplescouter.com/ko 1. 내실 레벨 : 285 (렙뻥도 상당히 중요합니다. 1렙 당 배율 2퍼씩 상승합니다) 6차 강화 : 지금 챌섭에서 키우고 있는 캐릭에 넣었으며, 조각은 1600개 가량, 헥사스텟은 2까지 찍었습니다. 시드링 : 리 4 ",domain-lexicon-v1.1
2304,47805,tips,인증 스압) 쓰잘데기 없는 보스 TMI,2026-06-29 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47805,comments,45787,112,135,38,False,mixed,positive,complaint,밸런스·스킬,0.8999999999999999,좋다 · 최악 · 아쉽,"1 스우 1페 배리어는 지속 시간이 끝날 때 남아있는 쉴드에 비례하여 체력을 회복한다 2 스우 2페 3페의 침입자 격퇴 프로토콜은 좌측 하단에 사각지대가 있다 3 스우한테 공멸형 패턴을 적중 시킬 때 나오는 효과음이 있다 4 스우 2페이즈에서 하늘색 공 날리는 드론은 공멸형 패턴을 일정 수치 이상 적중시킬 경우 사라진다 3페이즈에도 이런 패턴이 있었으나 아예 삭제됐다 5 데미안 1페에서 낙인사를 7번 하면 체력을 유지한 채 즉시 2페이즈로 넘어간다 https://www.inven.co.kr/board/maple/5974/6286676 6 데미안 1페 돌진은 벽쪽을 바라봤을 때 공간이 없으면 무조건 반대 방향으로 시전한다 7 데미안 2페 폭주 패턴은 시전 직전 투명한 상태로 잠깐 맵에 나타나는데, 디버프 아이콘 또는 보스 타격 실루엣으로 확인할 수 있다. 이 때 의지를 사용하면 석화(좌우 연타로 푸는거)에 걸리지 않는다 8 데미안 1페이즈 속박 패턴은 캐릭터 내성에 따라 입력해야하는 ",domain-lexicon-v1.1
2304,47829,tips,친구들 보여주려고 만든 템셋팅 가이드,2026-07-02 15:00:00+00:00,https://www.inven.co.kr/board/maple/2304/47829,comments,18287,11,78,76,False,neutral,positive,request,밸런스·스킬,0.35,,"챌섭 템셋팅 기본 가이드 1. 무기 제네무기 윗잠방무x3줄 밑잠 2줄 1추@가 최종목표 2. 보조 가성비로 보보방, 보공방 추천 레전에픽 - 40억, 방무 없으면 70억 레전유닠 - 카인90억 렌45억 레테 70억 -> 이렇게 돈 모을 자신 없으면 걍 블랙보조에 대충 직작 3. 엠블렘 미트라 존나비싸서 못산다는 가정 유니크 에픽 15퍼 6퍼 쓰다가 큐브 모아서 등업 노리기 -> 최종적으로 레전 에픽 공21퍼, 공6퍼 노리면 됨 4. 방어구 (오른쪽템) 아이템버닝이나 꾸준히 하자 본인 직업이 쿨뚝 쓰는지 잘 확인하고 / 5. 장신구 가이드라인 최종 목표 - 18성 15퍼 에디에픽2줄 프악공/마작 * 임시 목표 스타포스 - 17성 바르고 샤타때 18성 달아주기 or 17성 깡 직작 (샤타 기준 기댓값 6~8억) 잠재 - 유잠 바르고 15퍼 띄우기 무조건 메멘토 실버 큐브 말고 쓰면 안됨 ex) 메멘토 골드 큐브로 등업 노리면 안됨? ᄋᄋ 안됨 우리할배 운 갖다써도 절대못함 0.04퍼임 ",domain-lexicon-v1.1
