board_id,post_id,analysis_unit,title,published_at,source_url,selection_reason,views,recommendations,comment_count,analyzed_comment_count,comments_complete,body_sentiment,comment_reaction,intent,topic,confidence,evidence_terms,body_excerpt,model_version
2294,457537,adele,아델은 번거롭긴하지만 오히려 버프인거에요?,2026-07-16 08:35:00+00:00,https://www.inven.co.kr/board/maple/2294/457537,comments,1745,0,5,5,True,neutral,neutral,information,커뮤니티,0.35,,키다운중 게블사용이면 원래 못쓰는거 쓰게 해주는건가요?,domain-lexicon-v1.1
2298,224646,angelic_buster,근데 이번 신스킬 스택쌓고 재사용 하는거,2026-07-13 15:00:00+00:00,https://www.inven.co.kr/board/maple/2298/224646,comments,1157,7,23,21,False,neutral,negative,complaint,밸런스·스킬,0.35,,이번에 레테 신규 6차는 스택 다 털면 자동으로 나가고 렌 5차 망혼각성인가 그거 막타도 자동으로 나가는데 우리는 왜 수동으로 해야되는걸까요 ᅳᅳ..,domain-lexicon-v1.1
2298,224713,angelic_buster,엔버 근데 노래는 왜 정상화 안해주는거?,2026-07-14 15:00:00+00:00,https://www.inven.co.kr/board/maple/2298/224713,recommendations,804,11,6,6,True,neutral,neutral,complaint,커뮤니티,0.35,,게임 소소하게하는사람이라 성능은 솔직히 알빠노인데 익절트 보컬 없앤거 왜 재녹음안해주지... 아쉬운데,domain-lexicon-v1.1
2298,224761,angelic_buster,신규스킬 자동시전으로 바뀌었네요,2026-07-16 07:59:00+00:00,https://www.inven.co.kr/board/maple/2298/224761,views,1336,0,3,3,True,neutral,neutral,information,보스·전투,0.35,,■ 엔젤릭버스터 - 팝핑 하트 · 팬이 8명 모였을 때 팬들이 자동으로 적을 향해 돌진하도록 수정됩니다. · 이미 등장한 팬은 맵을 이동해도 유지되도록 수정됩니다. · 돌진하는 팬과 응원 에너지의 공격이 보스 전투 후 보상 몬스터를 타격할 수 없도록 수정됩니다.,domain-lexicon-v1.1
2294,457575,aran,마하 언리시드 이제 6차 적용되는건가,2026-07-16 08:57:00+00:00,https://www.inven.co.kr/board/maple/2294/457575,comments,1595,0,7,7,True,neutral,negative,information,커뮤니티,0.35,,헌터즈에 있는 155% 안받던게 고쳐진건가,domain-lexicon-v1.1
2294,457813,aran,마하 언리시드 열면 극딜 준극에 브마 안 넣는 게 더 쌔려나?,2026-07-16 15:05:00+00:00,https://www.inven.co.kr/board/maple/2294/457813,recommendations,61,0,0,4,True,neutral,positive,information,밸런스·스킬,0.35,,지금은 극딜 때 브마 섞는 편인데 신스킬 후엔 어쩌련지,domain-lexicon-v1.1
2294,457623,aran,아란 5차 최종뎀없애고 깡딜올렸네,2026-07-16 09:35:00+00:00,https://www.inven.co.kr/board/maple/2294/457623,views,2134,0,3,3,True,negative,negative,information,밸런스·스킬,0.6,너프,이러면 살짝 근소 너프인가,domain-lexicon-v1.1
2295,299453,arch_mage_fire_poison,인페르날 웨이브 이펙트 변경 없음.,2026-07-16 09:06:00+00:00,https://www.inven.co.kr/board/maple/2295/299453,comments,1478,6,25,23,False,positive,negative,praise,커뮤니티,0.6,기대,여전히 럭키 포이즌 리전입니다...... 패치 노트에 없어도 은근 기대했었는데 전혀네요.....ᄏᄏᄏᄏᄏ...크흡....,domain-lexicon-v1.1
2295,299568,arch_mage_fire_poison,테섭 불독 필터키 사용 체험 후기,2026-07-16 10:50:00+00:00,https://www.inven.co.kr/board/maple/2295/299568,recommendations,1340,6,5,9,False,neutral,mixed,information,버그·사용성,0.35,,"기존 필터키 프로그램 쓴 느낌처럼 사용감이 괜찮음. 헤이즈 - 이럽션 콤보 부드럽게 나감. 텔마 딜하다가 방향 삑나는 일 없음. 도노체 후 이럽션 콤보 부드럽게 나감. 채팅칠 때나 보스 UI, 아이템 구입 UI 입력시 실수 없음. GOAT",domain-lexicon-v1.1
2295,299386,arch_mage_fire_poison,불독 2차 테섭 인페르날 웨이브 변경점,2026-07-16 08:05:00+00:00,https://www.inven.co.kr/board/maple/2295/299386,views,2690,4,25,22,False,neutral,positive,information,밸런스·스킬,0.35,,퍼뎀 조정은 없지만 이그나이트가 생성되게 변경. 그래...불 스킬이 이그나이트 발동 안시키는게 말이 안됐지...나이샤~!,domain-lexicon-v1.1
2295,299377,arch_mage_ice_lightning,릴리즈 썬콜,2026-07-16 07:59:00+00:00,https://www.inven.co.kr/board/maple/2295/299377,comments,2290,0,14,14,True,neutral,negative,information,보스·전투,0.35,,"■ 아크메이지(썬,콜) - 서브제로 퍼미네이션 · 공용 스킬을 제외한 직접 사용하는 공격 스킬이 적중하지 않아도 서브제로 퍼미네이션의 재사용 대기시간이 감소하는 현상이 수정됩니다. ■ 아크메이지(썬,콜) - 프로즌 라이트닝 · 마력 개화의 공격이 보스 전투 후 보상 몬스터를 타격할 수 없도록 수정됩니다.",domain-lexicon-v1.1
2295,299525,arch_mage_ice_lightning,썬린이인데 신규스킬 열어도 되나요,2026-07-16 10:05:00+00:00,https://www.inven.co.kr/board/maple/2295/299525,recommendations,1145,1,4,4,True,neutral,positive,question,밸런스·스킬,0.35,,직게보니까 반응이 영 좋지는 않네요.,domain-lexicon-v1.1
